region_code,time_id,price_change_rate,rent_change_rate,sales_growth_rate,youth_inflow_rate,senior_outflow_rate,SGI_score
10900,202101,0,0,0,0,0,0
10900,202102,0.079734808,-0.029926928,0,0.076913173,0.018019041875786918,52.67295102379638
10900,202103,-0.197933456,0.066623347,0,0.039046336,0.007444399,38.64487848521961
10900,202104,0.12317358159340504,0.047633019,0.012555016997201683,0.020895560350095585,-0.010858217,55.663156002032586
10900,202105,0.062389695517715144,0.047376356862297506,0,-0.078703137,-0.032596026,43.66145789327154
10900,202106,-0.021991894,-0.004753848,0,,,42.12807710271685
10900,202107,0.037644757316434074,-0.075844237,0.024939649798049086,0,0,42.94693183216458
10900,202108,-0.016176927,-0.105759809,0,0,0,36.46376236959842
10900,202109,-0.003643362,0.060492344,0,0,0,47.24504471466105
10900,202110,-0.146366145,-0.019346904,0.062353193,0,0,37.55041529247751
10900,202111,-0.032056418,0.13303249542142623,0,0,0,49.97012271232411
10900,202112,0.13061566026741744,-0.048080379,0,0,0,48.83055845927437
10900,202201,-0.162861496,-0.028927664,-0.008155168,0,0,32.027116960441596
10900,202202,-0.150673912,-0.09091604,0,-0.038383022,-0.016748539,26.86603207813889
10900,202203,0.28692899780009523,0.13709055203695988,0,0.038533027,0.027337208676155713,72.63343003
10900,202204,-0.032149609,-0.003249386,0.027218834,0.081395776,0.035817235,50.468060078089174
10900,202205,0.045853144,-0.02046535,0,0.044861996850293455,0.039523263811284015,50.51380490754356
10900,202206,-0.209549401,0.013100597366719171,0,0.013046582463003002,0.013034634094735662,33.68338050519133
10900,202207,0.03265474,-0.035695262,0.024931369,-0.017918355,-0.06242054,40.217093690984306
10900,202208,0.060326124,0.046185098,0,-0.019180561,-0.020528173,47.85905566004903
10900,202209,-0.142956445,0.048521140524026195,0,-0.02798585,0.005842347,36.776103639546356
10900,202210,-0.070058839,-0.024198423,-0.016172441,0.013070007836390231,0.016450419,38.87688658559774
10900,202211,0.088964866,-0.120649472,0,0.015480427634699121,0.015444646747176365,43.70866856502331
10900,202212,0.13665527252542173,0.004375097,0,-9.46E-04,-0.015242861,51.444804318348034
10900,202301,0.20725293646704654,-0.063324981,0.094072446,-0.054132343,-0.056002702,51.63155717893573
10900,202302,0.034608837,0.093595483,0,0.085693912,0.046261993880502374,59.71055722877422
10900,202303,0.032407946267077305,0.12043655391754834,0,-0.042227664,-0.012153309,49.81483538472892
10900,202304,0.077299464,0.027621638,-0.071007644,-0.019823417,-0.008591418,44.090921084286485
10900,202305,0.024879139122929238,-0.049214324,0,-0.015355627,-0.010490966,40.71332398166983
10900,202306,0.11587092339437968,-0.001082653,0,0.029130444,0.007676064,53.09549452015199
10900,202307,-0.04844886,-0.016506868,0.065688261,-0.009577345,-0.016535964,42.21080838025316
10900,202308,0.22703891624653152,-0.04788664,0,-0.014188258,-0.004452934,53.64459417324811
10900,202309,-0.134360727,0.090689527,0,-0.020602133,0.019338927,41.02910822
10900,202310,-0.197301625,-0.020502446,0.008519007,-0.020898355,-0.01563618,29.528454937414388
10900,202311,-0.141792104,0.059078956,0,0.032882316680615004,0.016306888910871484,41.71776881791658
10900,202312,0.043861799,-0.012842658,0,0.004317362,0.013432275834314344,46.74706807348174
10900,202401,0.20187562893499886,-0.054580491,0.059241522,-0.055379955,-0.013081512,52.26181729941786
10900,202402,-0.018053278,-0.06189144,0,0.005786717,-0.031248374,37.43020100520687
10900,202403,0.085995461,0.11599302211442583,0,0.003692044,0.017088117565019573,57.45360013616595
10900,202404,0.06199684,-0.003340587,-0.113436142,-0.003066739,0.009244722,40.808337396447435
10900,202405,0.13308694153505127,-0.047564302,0,-0.022733988,-0.007040256,47.17718935004437
10900,202406,-0.137640176,0.035619053,0,-0.008836522,-1.11E-04,37.10408907718871
10900,202407,0.20549836794337017,0.014241758199052667,-7.61E-04,0.026836005839096417,-0.00486242,58.55472892453615
10900,202408,-0.079829415,-0.052926001,0,-0.022358365,-0.019040265,33.46948176503458
10900,202409,-0.293749734,0.03101295,0,-0.054304457,-0.012582637,25.211699330665038
10900,202410,0.23952427970096593,0.010312782630267709,0.066731997,0.039910907170192154,0.053521429,68.36745832438179
10900,202411,-0.154816432,-0.026969578,0,0.018684692392410458,0.003721805,34.30707494281803
10900,202412,0.16332036836597325,0.049033778,0,8.448756853777087E-4,0.001332139,56.952808365641204
10900,202501,0.054844579218626094,0.18990944557202818,,-0.075162246,-0.054728955,50.828332342263195
10900,202502,0.12687289700119636,-0.325258621,0,0.067857435,0.033991877120950614,37.952098360736606
10900,202503,0.11503598340761587,1.5871981602146417,0,-0.02990693,0.003599619,99.26399969
10900,202504,-0.2494282,0.24444444444444444,0,0.021887054714898137,0.008060219,45.28321635
10900,202505,0.26146046752401325,,0,-0.029908707,-0.034342118,55.89619849531293
10900,202506,0.08435144,0,0,-0.002775559,-0.00550058,48.431536660950904
10900,202507,-0.148355604,0,0,0.032706759,-0.008062429,36.36051192846581
10900,202508,0.039568115,0,0,-0.033755406,-0.018824384,42.96202916771502
10900,202509,0.14653552692530203,0,0,0.036011589,0.046191186544980715,57.81577591
10900,202510,0.039900067950710695,0,0,-0.100065755,-0.065369391,36.25449818907293
