region_code,time_id,price_change_rate,rent_change_rate,sales_growth_rate,youth_inflow_rate,senior_outflow_rate,SGI_score
11400,202101,0,0,0,0,0,0
11400,202102,-0.015672842,-0.147339401,0,0.032274197438021075,-0.004521367,35.691039041523766
11400,202103,0.067421757,-0.025285926,0,0.065098506,0.013599282998213356,51.19723669298493
11400,202104,-0.063555492,0.001672914,0.17457372563751264,0.026385471,-0.001338348,52.24102691802738
11400,202105,-0.051018887,0.18617786535791803,0,-0.075669951,-0.028630205,45.64521630793051
11400,202106,0.22358967715210248,-0.029813842,0,,,55.68621261887306
11400,202107,0.001010601,0.073960698,-0.00485943,0,0,48.06332431366849
11400,202108,0.049203588,-0.135398916,0,0,0,38.56333138915288
11400,202109,0.007923383,0.19332369022493423,0,0,0,56.14288516332827
11400,202110,-0.199989235,-0.176087102,0.20572682054073568,0,0,33.68440260500622
11400,202111,0.098418923,0.11521018285537027,0,0,0,56.897899075746075
11400,202112,-0.149075676,-0.085758793,0,0,0,30.118577590221086
11400,202201,-0.147625406,0.014203999412743562,-0.133005209,0,0,28.436044983752584
11400,202202,-0.067746035,-0.099778078,0,-0.015278848,0.001735374,33.080317500904584
11400,202203,0.14797016049885878,0.056438178509894736,0,0.010213571508045785,-0.009693627,56.367599245634594
11400,202204,0.1120712579488785,0.027698203449033596,0.13627900225575446,0.084673663,0.006572515,65.97705439251558
11400,202205,0.10826878969292121,0.012193918003399536,0,-0.004133873,0.010469132020955826,51.56564022954251
11400,202206,0.5233629810739437,-0.035641708,0,-0.003465668,0.010295500338411461,72.87328658
11400,202207,-0.649750515,-0.032719229,0.03545869,-0.014447889,-0.045738801,10.514152514678942
11400,202208,0.4043518773601165,0.065036865,0,-0.011767385,-0.011039985,70.35608021854074
11400,202209,1.0879658425267198,0.053342529,0,-0.0056089,0.013547287037453337,94.77322698987638
11400,202210,-0.49328124,0.057212707264166204,0.065052093,0.007853063,-0.006596102,23.268849550491304
11400,202211,-0.370439137,-0.111167001,0,0.031558665,0.007242584,19.956250586975028
11400,202212,0.3324629523276151,0.030080798,0,-0.017493449,0.008758642,65.20809361838695
11400,202301,0.4642446654340114,-0.166677447,-0.046060707,-0.028397282,-0.01372917,56.63907635715497
11400,202302,0.27543637726775816,0.16474506936145053,0,0.073725387,0.008331346,74.276023
11400,202303,-0.138587876,-0.010948958,0,-0.006937496,-0.006267971,34.11573551922046
11400,202304,0.097063038,-0.025858553,-0.057773939,-6.70E-05,-0.01834088,43.451373129882285
11400,202305,-0.043647023,0.055354428832253166,0,-0.022906796,-0.014651242,42.18232623
11400,202306,0.24260502577180404,0.16444038569657854,0,0.002166942,-0.006388419,67.97070091438626
11400,202307,-0.179580146,-0.048987931,-0.003118527,-0.020888309,-0.01383057,28.437155274713323
11400,202308,0.1698484669976808,-0.010082562,0,-0.004086244,0.001794039,53.45761327651457
11400,202309,-0.179974199,-0.006233756,0,-0.006012092,0.023994290383711602,33.804608080533356
11400,202310,0.071898134,0.062717095,0.08852187,0.004077104,-0.015370476,56.78918149612363
11400,202311,-0.070141265,-0.026201826,0,0.037333257,0.029975437154766468,41.98943883447759
11400,202312,-0.197163853,0.029641207923425287,0,-0.016962225,0.004042978,33.11546368106798
11400,202401,0.39167746748003535,-0.150874091,-0.149128698,-0.013035974,0.013127793462753076,49.40094793
11400,202402,-0.193947335,0.050460071,0,0.004010115,-0.019427768,34.334111633943806
11400,202403,0.14172150352224802,-0.064853743,0,0.037792316,0.003690004,51.04380241521718
11400,202404,0.10655989281761771,0.011245882,0.12046955464301715,0.037466897,-0.015312107,59.72674049924693
11400,202405,0.004627788,0.067579742,0,-0.053752697,-0.026060987,43.29114498860242
11400,202406,0.071204913,0.032973399,0,-0.019876301,0.001821297,49.052237706501636
11400,202407,0.05602747,-0.098506769,-0.0064314,0.020954032235752672,0.008993877,42.60026058775563
11400,202408,-0.158231216,0.013350768105970535,0,-0.021166169,0.003548973,34.129642539579706
11400,202409,0.006891471,-0.012797147,0,-0.033514015,-0.015626272,40.42113741924395
11400,202410,0.073570217,0.15969575813153053,0.040773544,0.073589193,0.022777499,66.15355232116215
11400,202411,-0.005262351,0.014076339,0,0.002983412,0.009892938,45.08239457011569
11400,202412,-0.291643584,-0.002330783,0,-0.019032669,0.013966218783116728,26.74765491323067
11400,202501,0.34068472591362764,-0.585042342,,-0.069202649,-0.025263986,24.75890837943528
11400,202502,0.2063775026318976,2.5334448160535117,0,0.10409304324334015,0.026937017,99.99910823119318
11400,202503,0.03815421,,0,-0.007667115,-0.00683572,45.20269671811262
11400,202504,-0.208554403,0,0,0.050925565512018905,0.012932908803605784,35.14722387892615
11400,202505,0.12332217264311585,0,0,-0.04365669,-0.030058179,46.798723426809055
11400,202506,0.11893735735960793,0,0,0.001018937,0.003314205,51.34777109892742
11400,202507,0.024256236125921066,0,0,0.010786104578201595,-0.00368428,45.67588899599553
11400,202508,-0.079172716,0,0,-0.03577385,-0.028283244,35.23151871659188
11400,202509,-0.106000505,0,0,0.061159065545458045,0.017907699599924585,42.11668524
11400,202510,0.14376100501685948,0,0,-0.079348764,-0.023069997,46.28982333195565
