region_code,time_id,price_change_rate,rent_change_rate,sales_growth_rate,youth_inflow_rate,senior_outflow_rate,SGI_score
11300,202101,0,0,0,0,0,0
11300,202102,0.11953919167757524,-0.035878233,0,0,0,48.900102690569604
11300,202103,-0.195053669,-0.117359282,0,0,0,26.070312145647044
11300,202104,0.15195083826737102,0.028923191793453252,0.029333258061544017,0,0,56.68948814362834
11300,202105,0.018115759104174227,0.21788748291077617,0,0,0,58.25564260936389
11300,202106,0.31979428909027535,-0.124884273,0,0,0,55.755588574221115
11300,202107,-0.094968467,0.025758765234010675,0.044252131,0,0,42.23646605235813
11300,202108,-0.031663436,0.041756608,0,0,0,44.37191236301701
11300,202109,-0.26260878,-0.096983038,0,0,0,23.753022860760698
11300,202110,0.37981101012890583,0.14191772180082232,0.089106173,0,0,78.49832396901166
11300,202111,-0.190951326,-0.039117054,0,0,0,30.37625461718853
11300,202112,0.23598758311695825,0.007877546,0,0,0,58.73048956317678
11300,202201,-0.318607668,0.043611214241756485,-0.122684147,0,0,21.967907563219907
11300,202202,0.6998431931575195,0.047298192,0,0,0,84.14180377635478
11300,202203,-0.530868546,0.052427862452493174,0,0,0,18.44881348563169
11300,202204,0.035099211,0.097058556,0.10855656057306297,0,0,58.54033485431707
11300,202205,0.4018690512785972,-0.135015679,0,0,0,60.111392435323374
11300,202206,-0.171747406,-0.030375706,0,0,0,31.906460952102528
11300,202207,0.1381485968174709,-0.129741372,-0.050370169,0,0,41.20818910640608
11300,202208,0.626704574,0.1357838294890795,0,0,0,84.71009812115713
11300,202209,-0.268671241,-0.082032819,0,0,0,24.180737774809096
11300,202210,-0.480568188,0.19247452772726487,0.08216896,0,0,31.696396884889023
11300,202211,0.21341173418651896,-0.178200604,0,0,0,45.91270278177231
11300,202212,0.36405283652744896,0.088611457,0,0,0,70.68113670806511
11300,202301,-0.216665475,0.012708419598177942,-0.028199406,0,0,30.2632421
11300,202302,0.27607771832513467,-0.250882058,0,0,0,45.29746379
11300,202303,0.25121951219512195,0.24788824729465206,0,0,0,73.10674009604001
11300,202304,-0.099470615,0.027695451,0.073467666,0,0,43.858372527829125
11300,202305,0.1396708026846967,-0.075551103,0,0,0,47.69350397370404
11300,202306,0.044835473,0.063641791,0,0,0,50.433724395905266
11300,202307,-0.075896962,0.063505013,-0.007286315,0,0,42.55680815133323
11300,202308,0.002662791,-0.061162425,0,0,0,40.214001838542025
11300,202309,0.11803526841790793,0.019278912332947432,0,0,0,52.214857025551986
11300,202310,-0.137713194,0.10955620303253379,-0.040617108,0,0,39.59943023516686
11300,202311,0.083683263,-0.019106366,0,0,0,47.72171428001657
11300,202312,-0.109300327,-0.032602192,0,0,0,35.30789420994167
11300,202401,0.14194707864373723,0.031317015,-0.021226342,0,0,53.12278922494996
11300,202402,0.048878467,0.036452638,0,0,0,49.003290310315336
11300,202403,-0.097295466,-0.003376167,0,0,0,37.70850749098895
11300,202404,0.060885484,0.023068708,0.070648847,0,0,53.28082555532956
11300,202405,0.1266946003218106,-0.033031298,0,0,0,49.518169005151016
11300,202406,0.05666553,0.031579403,0,0,0,49.18333245252652
11300,202407,-0.018017002,-0.042990285,-0.119292661,0,0,33.12343891661435
11300,202408,-0.007399751,-0.07559837,0,0,0,38.752893760850675
11300,202409,0.1719405323917959,-0.009005643,0,0,0,53.79374569
11300,202410,-0.31187558,0.046189382076557005,0.11586898426953861,0,0,34.85334965827593
11300,202411,0.014243744407968516,0.001529703,0,0,0,44.71969401988106
11300,202412,0.37324589876944847,-0.025149707,0,0,0,64.88043168
11300,202501,-0.156302912,-0.43759703,,0,0,14.06810928
11300,202502,0.11046871854208651,-0.115,0,0,0,43.478568420097155
11300,202503,-0.072847047,,0,0,0,39.356509619469456
11300,202504,0.15981289097056026,0,0,0,0,53.601620480996814
11300,202505,-0.028043495,0,0,0,0,42.04945195118256
11300,202506,0.098089618,0,0,0,0,49.79172632215167
11300,202507,-0.303957301,0,0,0,0,26.49759070605534
11300,202508,0.2477587541165855,0,0,0,0,58.96519143420185
11300,202509,0.086874495,0,0,0,0,49.09865231572627
11300,202510,-0.058395896,0,0,0,0,40.22021960798034
